('genetic_algorithm', {'pairing': 'tournament_2_75', 'crossover': 'blend', 'mating_pool_factor': 0.6577990136697419, 'scale': 0.02468588132911425, 'elite_rate': 0.3121946320923225, 'mutation_rate': 0.7816660364111881, 'distribution': 'levy'}, 'metropolis')
('genetic_algorithm', {'pairing': 'cost', 'crossover': 'uniform', 'mating_pool_factor': 0.8817304361398793, 'scale': 0.6997642661741946, 'elite_rate': 0.012977498449434213, 'mutation_rate': 0.8930464755407211, 'distribution': 'gaussian'}, 'probabilistic')
('genetic_algorithm', {'pairing': 'tournament_3_50', 'crossover': 'blend', 'mating_pool_factor': 0.5094793101811932, 'scale': 0.7197389663539853, 'elite_rate': 0.5588819391790512, 'mutation_rate': 0.477786264023934, 'distribution': 'gaussian'}, 'metropolis')
('genetic_algorithm', {'pairing': 'tournament_2_75', 'crossover': 'two', 'mating_pool_factor': 0.20651399780555843, 'scale': 0.7889296835213605, 'elite_rate': 0.35637610918785384, 'mutation_rate': 0.5156745248768363, 'distribution': 'uniform'}, 'metropolis')
('genetic_algorithm', {'pairing': 'tournament_3_100', 'crossover': 'blend', 'mating_pool_factor': 0.382128290654942, 'scale': 0.25558037675508644, 'elite_rate': 0.03817211364496559, 'mutation_rate': 0.33058612136452425, 'distribution': 'gaussian'}, 'greedy')
('genetic_algorithm', {'pairing': 'tournament_3_100', 'crossover': 'uniform', 'mating_pool_factor': 0.6624815202705734, 'scale': 0.4043208279723757, 'elite_rate': 0.07120131248915558, 'mutation_rate': 0.8486184017557278, 'distribution': 'levy'}, 'all')
('genetic_algorithm', {'pairing': 'tournament_3_100', 'crossover': 'blend', 'mating_pool_factor': 0.13472086699418787, 'scale': 0.8411865143253014, 'elite_rate': 0.0030240486461620675, 'mutation_rate': 0.8035351647944264, 'distribution': 'gaussian'}, 'probabilistic')
('genetic_algorithm', {'pairing': 'tournament_3_75', 'crossover': 'uniform', 'mating_pool_factor': 0.6971367748424973, 'scale': 0.11505386471531041, 'elite_rate': 0.5453620671861791, 'mutation_rate': 0.4114606780251845, 'distribution': 'gaussian'}, 'all')
('genetic_algorithm', {'pairing': 'tournament_2_75', 'crossover': 'uniform', 'mating_pool_factor': 0.42528040554494717, 'scale': 0.6428162115136394, 'elite_rate': 0.2525122608373797, 'mutation_rate': 0.8910619527934263, 'distribution': 'gaussian'}, 'metropolis')
('genetic_algorithm', {'pairing': 'random', 'crossover': 'blend', 'mating_pool_factor': 0.18555407486525927, 'scale': 0.8772752075357657, 'elite_rate': 0.6031171974721641, 'mutation_rate': 0.3571896728613504, 'distribution': 'levy'}, 'all')
('genetic_algorithm', {'pairing': 'tournament_3_50', 'crossover': 'two', 'mating_pool_factor': 0.8357046054222316, 'scale': 0.12761244989011758, 'elite_rate': 0.30215353615188173, 'mutation_rate': 0.6365518299716314, 'distribution': 'gaussian'}, 'all')
('genetic_algorithm', {'pairing': 'tournament_3_100', 'crossover': 'blend', 'mating_pool_factor': 0.510800195733918, 'scale': 0.47268427814230235, 'elite_rate': 0.28856039595353977, 'mutation_rate': 0.3462976374394414, 'distribution': 'gaussian'}, 'all')
('genetic_algorithm', {'pairing': 'random', 'crossover': 'blend', 'mating_pool_factor': 0.3775436119518438, 'scale': 0.3591589907311054, 'elite_rate': 0.40846899816599774, 'mutation_rate': 0.3872097844880801, 'distribution': 'gaussian'}, 'all')
