run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max,underflows,overflows,binedges,binvalues
General-0-20231004-21:10:08-4769,runattr,,,configname,General,,,,,,,,,,,
General-0-20231004-21:10:08-4769,runattr,,,datetime,20231004-21:10:08,,,,,,,,,,,
General-0-20231004-21:10:08-4769,runattr,,,datetimef,20231004-211008,,,,,,,,,,,
General-0-20231004-21:10:08-4769,runattr,,,experiment,General,,,,,,,,,,,
General-0-20231004-21:10:08-4769,runattr,,,inifile,/workspaces/hyper-heuristic-dse-2.0/src/external/simulation_model/sims/0/omnetpp.ini,,,,,,,,,,,
General-0-20231004-21:10:08-4769,runattr,,,iterationvars,,,,,,,,,,,,
General-0-20231004-21:10:08-4769,runattr,,,iterationvarsd,,,,,,,,,,,,
General-0-20231004-21:10:08-4769,runattr,,,iterationvarsf,,,,,,,,,,,,
General-0-20231004-21:10:08-4769,runattr,,,measurement,,,,,,,,,,,,
General-0-20231004-21:10:08-4769,runattr,,,network,Tictoc16,,,,,,,,,,,
General-0-20231004-21:10:08-4769,runattr,,,processid,4769,,,,,,,,,,,
General-0-20231004-21:10:08-4769,runattr,,,repetition,0,,,,,,,,,,,
General-0-20231004-21:10:08-4769,runattr,,,replication,#0,,,,,,,,,,,
General-0-20231004-21:10:08-4769,runattr,,,resultdir,/workspaces/hyper-heuristic-dse-2.0/src/external/simulation_model/sims/0/results,,,,,,,,,,,
General-0-20231004-21:10:08-4769,runattr,,,runnumber,0,,,,,,,,,,,
General-0-20231004-21:10:08-4769,runattr,,,seedset,0,,,,,,,,,,,
General-0-20231004-21:10:08-4769,config,,,result-dir,/workspaces/hyper-heuristic-dse-2.0/src/external/simulation_model/sims/0/results,,,,,,,,,,,
General-0-20231004-21:10:08-4769,config,,,network,Tictoc16,,,,,,,,,,,
General-0-20231004-21:10:08-4769,config,,,**.tic[1].hopCount.result-recording-modes,+histogram,,,,,,,,,,,
General-0-20231004-21:10:08-4769,config,,,**.tic[0..2].hopCount.result-recording-modes,-vector,,,,,,,,,,,
General-0-20231004-21:10:08-4769,param,Tictoc16.tic[0].gate$o[0].channel,typename,,,"""Tictoc16.Channel""",,,,,,,,,,
General-0-20231004-21:10:08-4769,param,Tictoc16.tic[0].gate$o[0].channel,disabled,,,false,,,,,,,,,,
General-0-20231004-21:10:08-4769,attr,Tictoc16.tic[0].gate$o[0].channel,disabled,mutable,,,,,,,,,,,,
General-0-20231004-21:10:08-4769,param,Tictoc16.tic[0].gate$o[0].channel,delay,,,0.1s,,,,,,,,,,
General-0-20231004-21:10:08-4769,attr,Tictoc16.tic[0].gate$o[0].channel,delay,mutable,,,,,,,,,,,,
General-0-20231004-21:10:08-4769,attr,Tictoc16.tic[0].gate$o[0].channel,delay,unit,s,,,,,,,,,,,
General-0-20231004-21:10:08-4769,param,Tictoc16.tic[1].gate$o[0].channel,typename,,,"""Tictoc16.Channel""",,,,,,,,,,
General-0-20231004-21:10:08-4769,param,Tictoc16.tic[1].gate$o[0].channel,disabled,,,false,,,,,,,,,,
General-0-20231004-21:10:08-4769,attr,Tictoc16.tic[1].gate$o[0].channel,disabled,mutable,,,,,,,,,,,,
General-0-20231004-21:10:08-4769,param,Tictoc16.tic[1].gate$o[0].channel,delay,,,0.1s,,,,,,,,,,
General-0-20231004-21:10:08-4769,attr,Tictoc16.tic[1].gate$o[0].channel,delay,mutable,,,,,,,,,,,,
General-0-20231004-21:10:08-4769,attr,Tictoc16.tic[1].gate$o[0].channel,delay,unit,s,,,,,,,,,,,
General-0-20231004-21:10:08-4769,param,Tictoc16.tic[1].gate$o[1].channel,typename,,,"""Tictoc16.Channel""",,,,,,,,,,
General-0-20231004-21:10:08-4769,param,Tictoc16.tic[1].gate$o[1].channel,disabled,,,false,,,,,,,,,,
General-0-20231004-21:10:08-4769,attr,Tictoc16.tic[1].gate$o[1].channel,disabled,mutable,,,,,,,,,,,,
General-0-20231004-21:10:08-4769,param,Tictoc16.tic[1].gate$o[1].channel,delay,,,0.1s,,,,,,,,,,
General-0-20231004-21:10:08-4769,attr,Tictoc16.tic[1].gate$o[1].channel,delay,mutable,,,,,,,,,,,,
General-0-20231004-21:10:08-4769,attr,Tictoc16.tic[1].gate$o[1].channel,delay,unit,s,,,,,,,,,,,
