run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max,underflows,overflows,binedges,binvalues
LargeNet-0-20231020-07:52:42-22650,runattr,,,configname,LargeNet,,,,,,,,,,,
LargeNet-0-20231020-07:52:42-22650,runattr,,,datetime,20231020-07:52:42,,,,,,,,,,,
LargeNet-0-20231020-07:52:42-22650,runattr,,,datetimef,20231020-075242,,,,,,,,,,,
LargeNet-0-20231020-07:52:42-22650,runattr,,,experiment,LargeNet,,,,,,,,,,,
LargeNet-0-20231020-07:52:42-22650,runattr,,,inifile,/workspaces/hyper-heuristic-dse-2.0/src/external/simulation_model/sims/0/largeNet.ini,,,,,,,,,,,
LargeNet-0-20231020-07:52:42-22650,runattr,,,iterationvars,,,,,,,,,,,,
LargeNet-0-20231020-07:52:42-22650,runattr,,,iterationvarsd,,,,,,,,,,,,
LargeNet-0-20231020-07:52:42-22650,runattr,,,iterationvarsf,,,,,,,,,,,,
LargeNet-0-20231020-07:52:42-22650,runattr,,,measurement,,,,,,,,,,,,
LargeNet-0-20231020-07:52:42-22650,runattr,,,network,LargeNet,,,,,,,,,,,
LargeNet-0-20231020-07:52:42-22650,runattr,,,processid,22650,,,,,,,,,,,
LargeNet-0-20231020-07:52:42-22650,runattr,,,repetition,0,,,,,,,,,,,
LargeNet-0-20231020-07:52:42-22650,runattr,,,replication,#0,,,,,,,,,,,
LargeNet-0-20231020-07:52:42-22650,runattr,,,resultdir,/workspaces/hyper-heuristic-dse-2.0/src/external/simulation_model/sims/0/results,,,,,,,,,,,
LargeNet-0-20231020-07:52:42-22650,runattr,,,runnumber,0,,,,,,,,,,,
LargeNet-0-20231020-07:52:42-22650,runattr,,,seedset,0,,,,,,,,,,,
LargeNet-0-20231020-07:52:42-22650,config,,,result-dir,/workspaces/hyper-heuristic-dse-2.0/src/external/simulation_model/sims/0/results,,,,,,,,,,,
LargeNet-0-20231020-07:52:42-22650,config,,,network,LargeNet,,,,,,,,,,,
LargeNet-0-20231020-07:52:42-22650,config,,,LargeNet.n,5,,,,,,,,,,,
LargeNet-0-20231020-07:52:42-22650,config,,,LargeNet.*s,1,,,,,,,,,,,
LargeNet-0-20231020-07:52:42-22650,config,,,LargeNet.*m,1,,,,,,,,,,,
LargeNet-0-20231020-07:52:42-22650,config,,,LargeNet.*l,1,,,,,,,,,,,
LargeNet-0-20231020-07:52:42-22650,config,,,LargeNet.*.n,5,,,,,,,,,,,
LargeNet-0-20231020-07:52:42-22650,config,,,LargeNet.*.h,2,,,,,,,,,,,
LargeNet-0-20231020-07:52:42-22650,config,,,LargeNet.*.b,3,,,,,,,,,,,
LargeNet-0-20231020-07:52:42-22650,config,,,LargeNet.**.cli.reqLength,"intuniform(50,1400)*1B",,,,,,,,,,,
